Model,State,Point,False_Positive_Rate,True_Positive_Rate,Threshold,State_AUROC
Equal Soft Voting,2,34,0.16167664670658682,0.8823529411764706,0.2256725106410092,0.9412645297640014
Equal Soft Voting,2,35,0.16167664670658682,0.8970588235294118,0.2225791572201636,0.9412645297640014
Equal Soft Voting,2,36,0.16766467065868262,0.8970588235294118,0.207442073668073,0.9412645297640014
Equal Soft Voting,2,37,0.16766467065868262,0.9117647058823529,0.192572050019747,0.9412645297640014
Equal Soft Voting,2,38,0.17964071856287425,0.9117647058823529,0.1741077274602338,0.9412645297640014
Equal Soft Voting,2,39,0.17964071856287425,0.9264705882352942,0.1622888309380676,0.9412645297640014
Equal Soft Voting,2,40,0.18562874251497005,0.9264705882352942,0.1621929876843763,0.9412645297640014
Equal Soft Voting,2,41,0.18562874251497005,0.9411764705882353,0.1535624174368852,0.9412645297640014
Equal Soft Voting,2,42,0.23952095808383234,0.9411764705882353,0.0903846935877771,0.9412645297640014
Equal Soft Voting,2,43,0.23952095808383234,0.9558823529411765,0.0899584334406473,0.9412645297640014
Equal Soft Voting,2,44,0.4550898203592814,0.9558823529411765,0.0355482761905713,0.9412645297640014
Equal Soft Voting,2,45,0.4550898203592814,0.9705882352941176,0.0348938758897358,0.9412645297640014
Equal Soft Voting,2,46,0.46107784431137727,0.9705882352941176,0.0347589227780768,0.9412645297640014
Equal Soft Voting,2,47,0.46107784431137727,0.9852941176470589,0.0339502528853937,0.9412645297640014
Equal Soft Voting,2,48,0.5149700598802395,0.9852941176470589,0.0253354613011607,0.9412645297640014
Equal Soft Voting,2,49,0.5149700598802395,1.0,0.0252307294932263,0.9412645297640014
Equal Soft Voting,2,50,1.0,1.0,0.0030232255173202,0.9412645297640014
Equal Soft Voting,3,1,0.0,0.0,,0.8175737306172088
Equal Soft Voting,3,2,0.0,0.010869565217391304,0.98511237868381,0.8175737306172088
Equal Soft Voting,3,3,0.0,0.021739130434782608,0.972422801095242,0.8175737306172088
Equal Soft Voting,3,4,0.006993006993006993,0.021739130434782608,0.9695314871503904,0.8175737306172088
Equal Soft Voting,3,5,0.006993006993006993,0.06521739130434782,0.9596357943385396,0.8175737306172088
Equal Soft Voting,3,6,0.013986013986013986,0.06521739130434782,0.9585625409793797,0.8175737306172088
Equal Soft Voting,3,7,0.013986013986013986,0.11956521739130435,0.9425388168990656,0.8175737306172088
Equal Soft Voting,3,8,0.02097902097902098,0.11956521739130435,0.9417117119499464,0.8175737306172088
Equal Soft Voting,3,9,0.02097902097902098,0.25,0.9177218849181362,0.8175737306172088
Equal Soft Voting,3,10,0.027972027972027972,0.25,0.9157532990727516,0.8175737306172088
Equal Soft Voting,3,11,0.027972027972027972,0.42391304347826086,0.8435084778046562,0.8175737306172088
Equal Soft Voting,3,12,0.04195804195804196,0.42391304347826086,0.8216468063441185,0.8175737306172088
Equal Soft Voting,3,13,0.04195804195804196,0.4673913043478261,0.8031281970750187,0.8175737306172088
Equal Soft Voting,3,14,0.055944055944055944,0.4673913043478261,0.7544304735711052,0.8175737306172088
Equal Soft Voting,3,15,0.055944055944055944,0.4891304347826087,0.7283512049626549,0.8175737306172088
Equal Soft Voting,3,16,0.06293706293706294,0.4891304347826087,0.7249982376332827,0.8175737306172088
Equal Soft Voting,3,17,0.06293706293706294,0.5108695652173914,0.7049163813056847,0.8175737306172088
